,id,timestamp,asset_name,action,allocation,price,position,executed
0,1324,2025-11-01T19:15:00.000,WVE,BUY,0.022031253203749657,9.04,0,false
1,1325,2025-11-01T19:15:00.000,ATUS,BUY,0.017406292706312887,2.23,66,true
2,1326,2025-11-01T19:15:00.000,CIFR,SELL,0.021690629422664642,18.6865,0,false
3,1327,2025-11-01T19:15:00.000,LAZR,HOLD,0.02667880989611149,1.1535,0,false
4,1328,2025-11-01T19:15:00.000,AAOI,BUY,0.02232559584081173,35.59,5,true
5,1329,2025-11-01T19:15:00.000,IREN,BUY,0.019634418189525604,60.77,2,true
6,1330,2025-11-01T19:15:00.000,EXK,BUY,0.007475042692002831,8.19,7,true
7,1331,2025-11-01T19:15:00.000,LAC,SELL,0.028714479878544807,5.5,0,false
8,1332,2025-11-01T19:15:00.000,CTMX,HOLD,0.02099432796239853,3.58,0,false
9,1333,2025-11-01T19:15:00.000,NB,BUY,0.15416767083319144,7.34,179,true
10,1314,2025-10-30T13:00:00.000,WVE,BUY,0.027154242619872093,8.24,-1074,false
11,1315,2025-10-30T13:00:00.000,ATUS,BUY,0.04899284988641739,2.11,-4194,false
12,1316,2025-10-30T13:00:00.000,CIFR,SELL,0.024815283715724945,19.59,0,false
13,1317,2025-10-30T13:00:00.000,LAZR,HOLD,0.03124520741403103,2.09,0,false
14,1318,2025-10-30T13:00:00.000,AAOI,BUY,0.025168342515826225,35.49,-250,false
15,1319,2025-10-30T13:00:00.000,IREN,BUY,0.023086927831172943,60.32,-147,false
16,1320,2025-10-30T13:00:00.000,EXK,BUY,0.01988932117819786,8.07,-1097,false
17,1321,2025-10-30T13:00:00.000,LAC,SELL,0.04052327200770378,5.75,0,false
18,1322,2025-10-30T13:00:00.000,CTMX,HOLD,0.023637373000383377,3.25,0,false
19,1323,2025-10-30T13:00:00.000,NB,BUY,0.735487163066864,7.59,-1166,false
20,1304,2025-10-28T17:45:00.000,WVE,BUY,0.016013454645872116,7.725,0,false
